PK,Store_Number,Store_State,Item_Code,Item_Name,Package_Type,Retail,Actual_Sales_$_L52W,L52W_in_Stock,Normalized_Sales_$_L52W,Age_of_the_Store_(years),Store_Size,Households_(HH),%_HH_Income_>_$100K,Median_HH_Income,Average_Net_Worth,%_Population_w/_Bachelor's_Degree_+,%_Hispanic,%_Asian,%_African_American,%_Population_Age_50-70,Store_Tier_(Under_$20),Store_Tier_($20-50),Store_Tier_(Over_$50),Store_Tier
2602_239750,2602,MI,239750,Fetzer Anthonys Hill Cab Sauv,750ml,$6.99 ,$35 ,11,$165 ,2.95, Large ,74390,48.10%,"$95,634 ","$1,714,835 ",57.10%,2.90%,15.00%,7.00%,29.20%,4,4,4,4
2601_239750,2601,MI,239750,Fetzer Anthonys Hill Cab Sauv,750ml,$6.99 ,$14 ,10,$73 ,3.34, Large ,46288,37.00%,"$75,727 ","$1,294,819 ",53.90%,5.60%,7.10%,14.70%,23.70%,4,3,2,4
101_256750,101,DE,256750,Heitz Cabernet Napa,750ml,$83.99 ,"$5,839 ",52,"$5,839 ",33.69, Extra Large ,61324,39.10%,"$78,405 ","$1,328,936 ",38.90%,5.00%,5.50%,21.90%,27.00%,4,4,4,4
1901_256750,1901,WI,256750,Heitz Cabernet Napa,750ml,$64.97 ,"$2,209 ",52,"$2,209 ",7.98, Large ,52365,42.10%,"$84,283 ","$1,524,897 ",51.80%,5.50%,7.30%,2.30%,28.50%,3,3,2,2
1126_256750,1126,CA,256750,Heitz Cabernet Napa,750ml,$59.99 ,"$5,054 ",52,"$5,054 ",6.5, Medium ,184922,43.80%,"$85,785 ","$1,159,131 ",48.20%,36.30%,30.00%,5.70%,25.00%,0,2,3,3
1132_256750,1132,CA,256750,Heitz Cabernet Napa,750ml,$59.99 ,"$2,123 ",52,"$2,123 ",2.38, Large ,95925,41.80%,"$83,396 ","$1,163,475 ",32.20%,49.20%,12.10%,4.00%,24.00%,0,2,3,3
201_256750,201,VA,256750,Heitz Cabernet Napa,750ml,$79.99 ,"$1,360 ",52,"$1,360 ",26.47, Large ,88561,63.30%,"$127,883 ","$2,198,688 ",66.10%,12.70%,27.30%,8.00%,24.60%,2,2,2,2
908_256750,908,FL,256750,Heitz Cabernet Napa,750ml,$79.99 ,"$5,919 ",52,"$5,919 ",17.01, Large ,64972,40.40%,"$79,478 ","$2,029,369 ",43.00%,24.60%,1.80%,6.40%,27.30%,3,4,4,4
1001_256750,1001,AZ,256750,Heitz Cabernet Napa,750ml,$73.99 ,"$3,591 ",52,"$3,591 ",16.13, Medium ,104841,19.50%,"$43,730 ","$519,532 ",37.90%,36.10%,4.90%,4.10%,22.40%,3,3,2,2
904_256750,904,FL,256750,Heitz Cabernet Napa,750ml,$80.99 ,"$4,332 ",52,"$4,332 ",18.68, Small ,96695,29.10%,"$58,323 ","$750,999 ",36.50%,21.50%,2.00%,37.00%,28.20%,2,3,4,4
1504_256750,1504,CT,256750,Heitz Cabernet Napa,750ml,$76.99 ,"$1,404 ",52,"$1,404 ",8.36, Small ,105723,28.70%,"$57,304 ","$858,847 ",35.30%,36.30%,6.30%,14.60%,23.50%,1,2,1,1
2702_256750,2702,IN,256750,Heitz Cabernet Napa,750ml,$64.97 ,"$1,559 ",52,"$1,559 ",2.21, Large ,80511,28.70%,"$62,990 ","$664,564 ",33.30%,6.80%,8.40%,3.70%,22.60%,3,3,2,2
1601_256750,1601,MN,256750,Heitz Cabernet Napa,750ml,$64.97 ,"$3,313 ",52,"$3,313 ",9.97, Medium ,103796,46.20%,"$91,831 ","$1,754,024 ",56.80%,7.60%,6.90%,8.70%,26.70%,4,3,2,2
2504_256750,2504,LA,256750,Heitz Cabernet Napa,750ml,$79.99 ,"$2,800 ",52,"$2,800 ",3.1, Large ,69180,36.10%,"$74,187 ","$1,121,516 ",48.10%,6.40%,5.00%,28.90%,23.00%,4,3,3,3
931_256750,931,FL,256750,Heitz Cabernet Napa,750ml,$80.99 ,"$2,404 ",52,"$2,404 ",6.48, Large ,162992,22.10%,"$52,054 ","$616,482 ",31.60%,38.40%,2.20%,32.80%,25.60%,2,1,4,4
703_256750,703,SC,256750,Heitz Cabernet Napa,750ml,$79.99 ,"$2,077 ",52,"$2,077 ",19.02, Medium ,66227,36.10%,"$73,919 ","$1,185,073 ",51.90%,7.50%,5.40%,15.10%,24.30%,4,4,3,3
1610_256750,1610,MN,256750,Heitz Cabernet Napa,750ml,$64.97 ,"$1,135 ",52,"$1,135 ",1.14, Small ,122476,50.00%,"$99,210 ","$1,641,588 ",66.00%,5.00%,5.00%,7.00%,25.00%,0,0,0,0
1203_256750,1203,NV,256750,Heitz Cabernet Napa,750ml,$62.97 ,"$3,360 ",52,"$3,360 ",13.56, Large ,68202,34.70%,"$69,366 ","$1,109,799 ",39.10%,25.70%,5.90%,2.40%,26.20%,2,2,3,3
210_256750,210,VA,256750,Heitz Cabernet Napa,750ml,$79.99 ,"$1,200 ",52,"$1,200 ",23.61, Large ,54009,35.10%,"$75,562 ","$1,184,772 ",40.40%,9.30%,4.00%,14.80%,24.00%,3,2,3,3
2302_256750,2302,CO,256750,Heitz Cabernet Napa,750ml,$72.99 ,"$5,223 ",52,"$5,223 ",5.03, Large ,89577,57.00%,"$111,081 ","$1,897,933 ",66.00%,8.70%,8.50%,2.60%,25.10%,4,4,4,4
927_256750,927,FL,256750,Heitz Cabernet Napa,750ml,$80.99 ,$321 ,52,$321 ,8.95, Medium ,131996,30.20%,"$62,860 ","$897,605 ",33.60%,29.80%,4.90%,27.10%,26.00%,2,2,2,2
613_256750,613,NC,256750,Heitz Cabernet Napa,750ml,$79.99 ,"$2,287 ",52,"$2,287 ",14.05, Medium ,66168,55.80%,"$111,573 ","$2,080,707 ",65.10%,7.00%,9.30%,8.30%,26.10%,3,3,3,3
211_256750,211,VA,256750,Heitz Cabernet Napa,750ml,$79.99 ,$800 ,52,$800 ,23.38, Small ,79271,33.60%,"$71,122 ","$754,023 ",33.50%,8.10%,6.90%,32.80%,23.80%,2,0,0,0
1904_256750,1904,WI,256750,Heitz Cabernet Napa,750ml,$64.97 ,"$1,513 ",52,"$1,513 ",4.16, Large ,107853,21.50%,"$46,229 ","$556,193 ",35.40%,5.20%,4.40%,54.70%,21.70%,1,1,1,1
1113_256750,1113,CA,256750,Heitz Cabernet Napa,750ml,$59.99 ,"$2,347 ",52,"$2,347 ",9.41, Medium ,184931,44.70%,"$88,924 ","$1,290,551 ",38.80%,31.20%,24.80%,6.40%,25.10%,0,2,3,3
921_256750,921,FL,256750,Heitz Cabernet Napa,750ml,$79.99 ,"$2,624 ",52,"$2,624 ",11.62, Medium ,29318,39.10%,"$80,220 ","$1,640,636 ",46.80%,11.00%,4.10%,5.80%,29.40%,2,1,2,2
1807_256750,1807,MO,256750,Heitz Cabernet Napa,750ml,$79.99 ,$448 ,25,$932 ,0.6, Large ,41517,41.70%,"$84,423 ","$1,081,938 ",43.90%,6.00%,2.20%,17.60%,24.70%,3,3,2,2
