PK,Store_Number,Store_State,Item_Code,Item_Name,Package_Type,Retail,Actual_Sales_$_L52W,L52W_in_Stock,Normalized_Sales_$_L52W,Age_of_the_Store_(years),Store_Size,Households_(HH),%_HH_Income_>_$100K,Median_HH_Income,Average_Net_Worth,%_Population_w/_Bachelor's_Degree_+,%_Hispanic,%_Asian,%_African_American,%_Population_Age_50-70,Store_Tier_(Under_$20),Store_Tier_($20-50),Store_Tier_(Over_$50),Store_Tier
1801_95270750,1801,MO,95270750,Simi Cabernet Landslide,750ml,$24.99 ,"$2,725 ",52,"$2,725 ",9.16, Medium ,65540,52.20%,"$103,817 ","$2,376,480 ",64.20%,3.10%,8.20%,3.80%,28.20%,3,3,2,3
2001_95270750,2001,TN,95270750,Simi Cabernet Landslide,750ml,$48.99 ,$147 ,52,$147 ,6.36, Large ,35028,47.40%,"$94,766 ","$1,836,093 ",59.10%,4.40%,5.30%,3.20%,28.50%,4,4,3,4
937_95270750,937,FL,95270750,Simi Cabernet Landslide,750ml,$45.99 ,$457 ,33,$720 ,2.46, Large ,57919,19.40%,"$47,357 ","$507,951 ",30.60%,6.00%,3.20%,31.10%,24.30%,2,2,2,2
305_95270750,305,NJ,95270750,Simi Cabernet Landslide,750ml,$35.07 ,$889 ,16,"$2,888 ",2.96, Large ,60245,46.80%,"$91,707 ","$1,786,040 ",48.20%,15.60%,4.10%,8.10%,26.40%,4,4,4,4
503_95270750,503,TX,95270750,Simi Cabernet Landslide,750ml,$46.99 ,$672 ,52,$672 ,10.91, Medium ,133629,22.80%,"$53,255 ","$701,789 ",37.60%,56.10%,3.10%,5.20%,22.80%,1,1,2,1
516_95270750,516,TX,95270750,Simi Cabernet Landslide,750ml,$47.99 ,$173 ,11,$817 ,7.69, Large ,239770,40.40%,"$76,352 ","$1,163,541 ",61.00%,38.10%,10.00%,8.10%,21.20%,0,4,4,4
1702_95270750,1702,MA,95270750,Simi Cabernet Landslide,750ml,$33.47 ,$746 ,52,$746 ,8.47, Medium ,363647,46.10%,"$89,166 ","$704,587 ",57.80%,18.50%,13.80%,9.40%,19.20%,3,2,2,2
2301_95270750,2301,CO,95270750,Simi Cabernet Landslide,750ml,$38.97 ,"$1,071 ",52,"$1,071 ",6.29, Medium ,229522,36.70%,"$71,604 ","$865,880 ",57.50%,21.70%,5.40%,8.10%,22.30%,4,4,3,4
1708_95270750,1708,MA,95270750,Simi Cabernet Landslide,750ml,$33.47 ,$100 ,52,$100 ,1.29, Large ,105187,52.40%,"$104,487 ","$1,728,724 ",54.20%,14.60%,7.00%,23.60%,26.20%,4,4,4,4
1806_95270750,1806,MO,95270750,Simi Cabernet Landslide,750ml,$28.99 ,"$1,136 ",43,"$1,374 ",1.07, Large ,60259,48.30%,"$96,145 ","$1,799,787 ",59.90%,6.50%,8.70%,12.00%,25.70%,2,2,2,2
1142_95270750,1142,CA,95270750,Simi Cabernet Landslide,750ml,$48.99 ,$485 ,46,$548 ,1.01, Large ,37229,45.50%,"$91,270 ","$1,253,134 ",25.80%,27.00%,7.70%,9.50%,25.00%,0,1,2,1
2701_95270750,2701,IN,95270750,Simi Cabernet Landslide,750ml,$49.99 ,$606 ,34,$927 ,3.99, Large ,85421,35.30%,"$70,745 ","$1,062,544 ",58.30%,8.00%,6.40%,18.60%,23.80%,4,3,2,3
1401_95270750,1401,WA,95270750,Simi Cabernet Landslide,750ml,$34.99 ,$35 ,9,$202 ,12.35, Large ,101821,65.40%,"$141,954 ","$2,180,090 ",72.30%,6.90%,31.90%,2.40%,24.70%,2,4,4,4
2802_95270750,2802,KS,95270750,Simi Cabernet Landslide,750ml,$49.99 ,"$1,102 ",34,"$1,686 ",1.27, Large ,100194,47.40%,"$94,490 ","$1,684,201 ",64.30%,6.00%,7.90%,5.40%,25.90%,3,3,4,3
1703_95270750,1703,MA,95270750,Simi Cabernet Landslide,750ml,$33.47 ,$703 ,52,$703 ,7.69, Medium ,86737,31.70%,"$61,435 ","$861,694 ",38.30%,21.70%,9.80%,12.00%,23.00%,4,4,2,4
2705_95270750,2705,IN,95270750,Simi Cabernet Landslide,750ml,$49.99 ,$50 ,52,$50 ,1.15, Large ,58751,27.60%,"$62,925 ","$608,708 ",31.30%,11.10%,4.50%,18.60%,22.20%,4,3,3,3
1901_95270750,1901,WI,95270750,Simi Cabernet Landslide,750ml,$48.49 ,$368 ,41,$467 ,7.98, Large ,52365,42.10%,"$84,283 ","$1,524,897 ",51.80%,5.50%,7.30%,2.30%,28.50%,3,3,2,3
2201_95270750,2201,NY,95270750,Simi Cabernet Landslide,750ml,$33.99 ,"$2,125 ",30,"$3,683 ",6.99, Large ,145881,56.20%,"$113,250 ","$2,286,117 ",43.90%,22.40%,14.30%,17.00%,25.80%,4,4,4,4
1805_95270750,1805,MO,95270750,Simi Cabernet Landslide,750ml,$28.99 ,$847 ,52,$847 ,1.19, Medium ,33546,41.00%,"$82,892 ","$747,797 ",40.60%,6.60%,2.30%,6.40%,21.80%,2,2,3,2
903_95270750,903,FL,95270750,Simi Cabernet Landslide,750ml,$48.99 ,$184 ,13,$736 ,17.97, Large ,68444,40.80%,"$80,301 ","$1,762,097 ",45.90%,12.40%,3.50%,20.20%,28.60%,3,4,4,4
921_95270750,921,FL,95270750,Simi Cabernet Landslide,750ml,$48.99 ,$613 ,52,$613 ,11.62, Medium ,29318,39.10%,"$80,220 ","$1,640,636 ",46.80%,11.00%,4.10%,5.80%,29.40%,2,1,2,1
302_95270750,302,NJ,95270750,Simi Cabernet Landslide,750ml,$35.07 ,$329 ,20,$856 ,26.35, Medium ,195507,37.70%,"$71,908 ","$1,291,591 ",42.30%,22.00%,6.40%,39.90%,24.60%,3,3,2,3
517_95270750,517,TX,95270750,Simi Cabernet Landslide,750ml,$47.99 ,$855 ,52,$855 ,7.67, Medium ,186096,28.40%,"$56,721 ","$916,533 ",45.90%,42.00%,11.60%,13.90%,20.80%,1,3,4,3
2302_95270750,2302,CO,95270750,Simi Cabernet Landslide,750ml,$38.97 ,"$1,344 ",51,"$1,370 ",5.03, Large ,89577,57.00%,"$111,081 ","$1,897,933 ",66.00%,8.70%,8.50%,2.60%,25.10%,4,4,4,4
1134_95270750,1134,CA,95270750,Simi Cabernet Landslide,750ml,$45.99 ,$380 ,49,$403 ,1.04, Medium ,71588,34.60%,"$76,455 ","$829,497 ",31.40%,34.70%,5.60%,2.80%,23.10%,2,2,4,2
1804_95270750,1804,MO,95270750,Simi Cabernet Landslide,750ml,$24.99 ,$772 ,50,$803 ,2.15, Large ,62406,48.00%,"$95,727 ","$1,449,941 ",42.50%,3.30%,3.30%,4.80%,24.30%,3,3,2,3
2801_95614750,2801,KS,95614750,Martin Ray Cabernet Sauvignon,750ml,$19.99 ,$503 ,44,$595 ,0.96, Large ,41452,35.60%,"$71,941 ","$1,143,166 ",49.60%,7.80%,8.70%,14.40%,22.90%,3,3,2,3
2802_95614750,2802,KS,95614750,Martin Ray Cabernet Sauvignon,750ml,$18.99 ,"$5,600 ",52,"$5,600 ",1.27, Large ,100194,47.40%,"$94,490 ","$1,684,201 ",64.30%,6.00%,7.90%,5.40%,25.90%,3,3,4,3
2303_95693750,2303,CO,95693750,Alamos Cabernet,750ml,$9.97 ,$20 ,11,$94 ,2.18, Large ,106175,43.70%,"$86,834 ","$1,414,923 ",45.80%,21.30%,4.20%,1.50%,26.70%,4,4,3,4
2302_95693750,2302,CO,95693750,Alamos Cabernet,750ml,$9.97 ,$100 ,11,$471 ,5.03, Large ,89577,57.00%,"$111,081 ","$1,897,933 ",66.00%,8.70%,8.50%,2.60%,25.10%,4,4,4,4
1501_95693750,1501,CT,95693750,Alamos Cabernet,750ml,$11.99 ,"$1,619 ",52,"$1,619 ",11.91, Large ,53733,55.50%,"$114,356 ","$2,416,222 ",57.20%,20.90%,5.70%,10.80%,26.80%,3,4,4,3
1606_95693750,1606,MN,95693750,Alamos Cabernet,750ml,$10.99 ,$50 ,10,$262 ,8.45, Small ,47856,53.60%,"$106,882 ","$2,103,706 ",60.00%,5.10%,7.10%,5.50%,28.20%,4,4,2,4
2002_95693750,2002,TN,95693750,Alamos Cabernet,750ml,$10.49 ,$130 ,9,$750 ,2.96, Large ,42984,52.50%,"$104,831 ","$2,274,695 ",67.10%,7.10%,8.00%,7.30%,26.70%,4,4,4,4
2705_95693750,2705,IN,95693750,Alamos Cabernet,750ml,$9.99 ,$110 ,52,$110 ,1.15, Large ,58751,27.60%,"$62,925 ","$608,708 ",31.30%,11.10%,4.50%,18.60%,22.20%,4,3,3,4
1707_95693750,1707,MA,95693750,Alamos Cabernet,750ml,$9.97 ,$50 ,10,$259 ,1.67, Medium ,353454,44.00%,"$83,926 ","$634,488 ",57.50%,19.80%,13.80%,19.30%,18.50%,4,4,3,4
203_95693750,203,VA,95693750,Alamos Cabernet,750ml,$10.99 ,$599 ,52,$599 ,26.47, Large ,225161,52.80%,"$104,908 ","$1,383,598 ",59.50%,23.60%,13.70%,14.80%,22.60%,2,2,2,2
933_95693750,933,FL,95693750,Alamos Cabernet,750ml,$12.49 ,$23 ,10,$117 ,4.2, Small ,39045,21.10%,"$55,438 ","$1,225,292 ",32.40%,4.50%,1.50%,3.30%,36.80%,4,0,0,4
402_95693750,402,MD,95693750,Alamos Cabernet,750ml,$9.99 ,"$1,464 ",52,"$1,464 ",26.98, Large ,51979,46.10%,"$92,318 ","$1,049,169 ",46.10%,16.60%,10.00%,42.90%,21.30%,4,4,4,4
2101_95693750,2101,KY,95693750,Alamos Cabernet,750ml,$10.99 ,$20 ,3,$343 ,8.07, Large ,52455,43.60%,"$86,768 ","$1,696,098 ",59.20%,5.40%,6.50%,9.80%,26.40%,3,2,2,3
801_95693750,801,GA,95693750,Alamos Cabernet,750ml,$10.99 ,$46 ,11,$217 ,15.49, Large ,79012,54.00%,"$107,097 ","$1,777,722 ",63.00%,11.90%,15.00%,13.90%,24.40%,4,4,4,4
304_95693750,304,NJ,95693750,Alamos Cabernet,750ml,$11.97 ,"$1,633 ",52,"$1,633 ",21.9, Medium ,179410,41.10%,"$79,724 ","$1,403,768 ",41.90%,24.10%,6.30%,30.50%,25.60%,3,3,2,3
1708_95693750,1708,MA,95693750,Alamos Cabernet,750ml,$9.97 ,$10 ,6,$86 ,1.29, Large ,105187,52.40%,"$104,487 ","$1,728,724 ",54.20%,14.60%,7.00%,23.60%,26.20%,4,4,4,4
1602_95693750,1602,MN,95693750,Alamos Cabernet,750ml,$10.99 ,$52 ,10,$270 ,10.64, Medium ,140763,31.00%,"$64,444 ","$644,223 ",50.10%,7.00%,12.60%,16.80%,20.60%,4,2,1,4
2503_95693750,2503,LA,95693750,Alamos Cabernet,750ml,$11.49 ,$383 ,34,$585 ,4.01, Large ,27797,40.10%,"$81,390 ","$1,502,179 ",49.70%,6.80%,2.00%,4.20%,27.80%,4,3,1,4
2301_95693750,2301,CO,95693750,Alamos Cabernet,750ml,$9.97 ,$10 ,11,$47 ,6.29, Medium ,229522,36.70%,"$71,604 ","$865,880 ",57.50%,21.70%,5.40%,8.10%,22.30%,4,4,3,4
1704_95693750,1704,MA,95693750,Alamos Cabernet,750ml,$9.97 ,$30 ,10,$156 ,7.52, Large ,80567,40.90%,"$82,938 ","$1,242,551 ",43.60%,14.60%,3.00%,4.70%,27.20%,4,4,3,4
303_95693750,303,NJ,95693750,Alamos Cabernet,750ml,$11.97 ,"$1,591 ",51,"$1,622 ",22.66, Large ,174536,49.70%,"$99,120 ","$1,561,975 ",46.80%,27.20%,16.70%,10.60%,26.60%,4,4,4,4
1807_95693750,1807,MO,95693750,Alamos Cabernet,750ml,$9.99 ,$118 ,26,$236 ,0.6, Large ,41517,41.70%,"$84,423 ","$1,081,938 ",43.90%,6.00%,2.20%,17.60%,24.70%,3,3,2,3
2001_95693750,2001,TN,95693750,Alamos Cabernet,750ml,$11.99 ,$84 ,9,$485 ,6.36, Large ,35028,47.40%,"$94,766 ","$1,836,093 ",59.10%,4.40%,5.30%,3.20%,28.50%,4,4,3,4
1805_95693750,1805,MO,95693750,Alamos Cabernet,750ml,$9.99 ,$232 ,52,$232 ,1.19, Medium ,33546,41.00%,"$82,892 ","$747,797 ",40.60%,6.60%,2.30%,6.40%,21.80%,2,2,3,2
609_95693750,609,NC,95693750,Alamos Cabernet,750ml,$11.99 ,$44 ,11,$206 ,21.28, Large ,39025,49.70%,"$99,311 ","$1,506,221 ",57.20%,8.80%,4.00%,9.50%,23.60%,4,4,3,4
218_95693750,218,VA,95693750,Alamos Cabernet,750ml,$10.99 ,"$1,232 ",52,"$1,232 ",8.22, Medium ,32062,66.20%,"$148,736 ","$2,109,334 ",62.00%,16.20%,14.10%,9.40%,21.20%,3,3,2,3
2602_95693750,2602,MI,95693750,Alamos Cabernet,750ml,$10.99 ,$11 ,10,$57 ,2.95, Large ,74390,48.10%,"$95,634 ","$1,714,835 ",57.10%,2.90%,15.00%,7.00%,29.20%,4,4,4,4
101_95693750,101,DE,95693750,Alamos Cabernet,750ml,$11.99 ,"$1,362 ",52,"$1,362 ",33.69, Extra Large ,61324,39.10%,"$78,405 ","$1,328,936 ",38.90%,5.00%,5.50%,21.90%,27.00%,4,4,4,4
1608_95693750,1608,MN,95693750,Alamos Cabernet,750ml,$10.99 ,$52 ,10,$270 ,6.96, Medium ,81913,45.10%,"$89,585 ","$1,633,013 ",57.80%,4.40%,6.00%,9.50%,26.50%,4,4,3,4
931_95693750,931,FL,95693750,Alamos Cabernet,750ml,$12.49 ,$856 ,52,$856 ,6.48, Large ,162992,22.10%,"$52,054 ","$616,482 ",31.60%,38.40%,2.20%,32.80%,25.60%,2,1,4,2
1303_95693750,1303,NM,95693750,Alamos Cabernet,750ml,$9.99 ,"$2,881 ",52,"$2,881 ",6.52, Medium ,38782,24.80%,"$56,987 ","$772,125 ",41.10%,57.50%,1.70%,1.20%,27.20%,1,0,0,1
519_95693750,519,TX,95693750,Alamos Cabernet,750ml,$9.99 ,$529 ,52,$529 ,7.59, Large ,70748,63.60%,"$123,797 ","$1,717,510 ",58.60%,22.00%,19.90%,13.20%,20.80%,2,3,2,2
2604_95693750,2604,MI,95693750,Alamos Cabernet,750ml,$10.99 ,$44 ,10,$229 ,2.97, Large ,99987,34.60%,"$75,015 ","$947,401 ",31.60%,3.00%,5.60%,8.20%,26.90%,4,4,3,4
2201_95693750,2201,NY,95693750,Alamos Cabernet,750ml,$9.99 ,"$7,490 ",52,"$7,490 ",6.99, Large ,145881,56.20%,"$113,250 ","$2,286,117 ",43.90%,22.40%,14.30%,17.00%,25.80%,4,4,4,4
1703_95693750,1703,MA,95693750,Alamos Cabernet,750ml,$9.97 ,$60 ,9,$346 ,7.69, Medium ,86737,31.70%,"$61,435 ","$861,694 ",38.30%,21.70%,9.80%,12.00%,23.00%,4,4,2,4
1706_95693750,1706,MA,95693750,Alamos Cabernet,750ml,$9.97 ,$299 ,21,$740 ,5.44, Large ,95581,43.00%,"$85,117 ","$1,006,511 ",43.00%,5.70%,17.20%,12.00%,26.30%,4,4,4,4
703_95693750,703,SC,95693750,Alamos Cabernet,750ml,$10.99 ,$77 ,11,$364 ,19.02, Medium ,66227,36.10%,"$73,919 ","$1,185,073 ",51.90%,7.50%,5.40%,15.10%,24.30%,4,4,3,4
2802_95693750,2802,KS,95693750,Alamos Cabernet,750ml,$10.49 ,"$1,701 ",52,"$1,701 ",1.27, Large ,100194,47.40%,"$94,490 ","$1,684,201 ",64.30%,6.00%,7.90%,5.40%,25.90%,3,3,4,3
401_95693750,401,MD,95693750,Alamos Cabernet,750ml,$11.49 ,$113 ,11,$534 ,28.01, Medium ,120003,35.80%,"$72,889 ","$1,078,772 ",42.50%,4.60%,5.70%,37.60%,24.40%,4,3,2,4
204_95693750,204,VA,95693750,Alamos Cabernet,750ml,$10.99 ,$411 ,52,$411 ,25.18, Medium ,68003,62.30%,"$126,650 ","$2,155,865 ",59.20%,22.40%,19.40%,8.70%,23.10%,1,1,1,1
2102_95693750,2102,KY,95693750,Alamos Cabernet,750ml,$10.99 ,"$2,834 ",52,"$2,834 ",6.54, Medium ,97501,25.80%,"$56,431 ","$737,339 ",48.10%,7.00%,4.70%,12.60%,22.10%,2,1,1,2
704_95693750,704,SC,95693750,Alamos Cabernet,750ml,$10.99 ,$55 ,11,$260 ,5.56, Large ,39322,21.60%,"$53,001 ","$513,776 ",28.30%,12.40%,2.90%,11.60%,22.90%,4,2,2,4
1607_95693750,1607,MN,95693750,Alamos Cabernet,750ml,$10.99 ,$33 ,10,$171 ,7.99, Large ,52640,43.70%,"$86,430 ","$1,499,453 ",50.10%,8.80%,7.90%,11.90%,26.40%,4,2,0,4
1107_95834750,1107,CA,95834750,Meerlust Rubicon Stellenbosch,750ml,$40.99 ,$494 ,52,$494 ,13.61, Medium ,48982,58.70%,"$115,595 ","$2,419,760 ",53.60%,19.70%,9.20%,1.50%,29.40%,0,3,2,3
524_95834750,524,TX,95834750,Meerlust Rubicon Stellenbosch,750ml,$37.99 ,$833 ,51,$849 ,6.12, Large ,65602,53.50%,"$106,365 ","$1,703,161 ",53.30%,21.50%,5.80%,6.00%,25.40%,3,3,3,3
904_95834750,904,FL,95834750,Meerlust Rubicon Stellenbosch,750ml,$43.99 ,$43 ,10,$224 ,18.68, Small ,96695,29.10%,"$58,323 ","$750,999 ",36.50%,21.50%,2.00%,37.00%,28.20%,2,3,4,3
931_95834750,931,FL,95834750,Meerlust Rubicon Stellenbosch,750ml,$43.99 ,$129 ,10,$671 ,6.48, Large ,162992,22.10%,"$52,054 ","$616,482 ",31.60%,38.40%,2.20%,32.80%,25.60%,2,1,4,1
536_95834750,536,TX,95834750,Meerlust Rubicon Stellenbosch,750ml,$37.99 ,$899 ,52,$899 ,4.41, Small ,23355,67.70%,"$149,448 ","$2,348,650 ",69.90%,11.80%,8.90%,1.30%,24.90%,0,2,2,2
1702_95834750,1702,MA,95834750,Meerlust Rubicon Stellenbosch,750ml,$39.99 ,$612 ,52,$612 ,8.47, Medium ,363647,46.10%,"$89,166 ","$704,587 ",57.80%,18.50%,13.80%,9.40%,19.20%,3,2,2,2
517_95834750,517,TX,95834750,Meerlust Rubicon Stellenbosch,750ml,$37.99 ,$72 ,11,$338 ,7.67, Medium ,186096,28.40%,"$56,721 ","$916,533 ",45.90%,42.00%,11.60%,13.90%,20.80%,1,3,4,3
1804_95834750,1804,MO,95834750,Meerlust Rubicon Stellenbosch,750ml,$39.99 ,$488 ,39,$651 ,2.15, Large ,62406,48.00%,"$95,727 ","$1,449,941 ",42.50%,3.30%,3.30%,4.80%,24.30%,3,3,2,3
506_95834750,506,TX,95834750,Meerlust Rubicon Stellenbosch,750ml,$38.99 ,$165 ,11,$778 ,10.97, Large ,120430,54.80%,"$108,099 ","$1,414,564 ",64.80%,11.30%,26.50%,8.70%,23.70%,3,4,4,4
1801_95834750,1801,MO,95834750,Meerlust Rubicon Stellenbosch,750ml,$39.99 ,$252 ,39,$336 ,9.16, Medium ,65540,52.20%,"$103,817 ","$2,376,480 ",64.20%,3.10%,8.20%,3.80%,28.20%,3,3,2,3
907_95834750,907,FL,95834750,Meerlust Rubicon Stellenbosch,750ml,$43.99 ,$44 ,10,$229 ,18.41, Large ,79803,27.40%,"$62,306 ","$566,903 ",40.20%,16.60%,9.40%,17.90%,20.40%,3,4,4,4
1112_95834750,1112,CA,95834750,Meerlust Rubicon Stellenbosch,750ml,$40.99 ,$123 ,10,$639 ,11.39, Large ,34549,37.20%,"$71,445 ","$2,141,335 ",41.20%,24.50%,4.00%,1.80%,31.40%,0,3,4,3
1135_95834750,1135,CA,95834750,Meerlust Rubicon Stellenbosch,750ml,$38.99 ,"$1,557 ",52,"$1,557 ",1.19, Medium ,366397,57.20%,"$121,881 ","$1,059,464 ",60.00%,15.80%,35.90%,5.20%,24.00%,1,3,4,3
1401_95834750,1401,WA,95834750,Meerlust Rubicon Stellenbosch,750ml,$43.99 ,"$2,024 ",52,"$2,024 ",12.35, Large ,101821,65.40%,"$141,954 ","$2,180,090 ",72.30%,6.90%,31.90%,2.40%,24.70%,2,4,4,4
1708_95834750,1708,MA,95834750,Meerlust Rubicon Stellenbosch,750ml,$39.99 ,$608 ,52,$608 ,1.29, Large ,105187,52.40%,"$104,487 ","$1,728,724 ",54.20%,14.60%,7.00%,23.60%,26.20%,4,4,4,4
801_95834750,801,GA,95834750,Meerlust Rubicon Stellenbosch,750ml,$37.99 ,$228 ,10,"$1,185 ",15.49, Large ,79012,54.00%,"$107,097 ","$1,777,722 ",63.00%,11.90%,15.00%,13.90%,24.40%,4,4,4,4
1128_95834750,1128,CA,95834750,Meerlust Rubicon Stellenbosch,750ml,$38.99 ,"$1,366 ",52,"$1,366 ",6.61, Large ,91054,68.00%,"$155,687 ","$2,320,557 ",64.70%,16.30%,30.20%,1.50%,26.10%,0,2,3,2
1803_95834750,1803,MO,95834750,Meerlust Rubicon Stellenbosch,750ml,$39.99 ,$723 ,38,$990 ,8.95, Large ,47303,56.70%,"$112,649 ","$2,597,742 ",65.60%,3.40%,9.60%,3.30%,29.90%,3,4,3,4
1701_95834750,1701,MA,95834750,Meerlust Rubicon Stellenbosch,750ml,$39.99 ,"$1,842 ",52,"$1,842 ",8.97, Large ,56102,56.10%,"$113,727 ","$2,295,006 ",62.70%,10.80%,11.30%,4.60%,26.20%,4,4,4,4
940_95834750,940,FL,95834750,Meerlust Rubicon Stellenbosch,750ml,$43.99 ,"$1,452 ",52,"$1,452 ",1.1, Small ,120259,29.40%,"$58,554 ","$855,976 ",36.80%,19.70%,1.90%,35.40%,29.00%,1,1,3,1
1707_95834750,1707,MA,95834750,Meerlust Rubicon Stellenbosch,750ml,$39.99 ,$541 ,52,$541 ,1.67, Medium ,353454,44.00%,"$83,926 ","$634,488 ",57.50%,19.80%,13.80%,19.30%,18.50%,4,4,3,4
1126_95834750,1126,CA,95834750,Meerlust Rubicon Stellenbosch,750ml,$40.99 ,"$1,097 ",52,"$1,097 ",6.5, Medium ,184922,43.80%,"$85,785 ","$1,159,131 ",48.20%,36.30%,30.00%,5.70%,25.00%,0,2,3,2
918_95834750,918,FL,95834750,Meerlust Rubicon Stellenbosch,750ml,$43.99 ,$44 ,10,$229 ,13.21, Medium ,95855,38.40%,"$76,987 ","$1,309,505 ",42.40%,64.50%,3.00%,10.90%,26.90%,3,3,4,3
1121_95834750,1121,CA,95834750,Meerlust Rubicon Stellenbosch,750ml,$38.99 ,$862 ,52,$862 ,7.02, Large ,65961,74.20%,"$165,740 ","$2,343,649 ",63.90%,12.60%,34.90%,3.40%,24.30%,0,3,3,3
1140_95834750,1140,CA,95834750,Meerlust Rubicon Stellenbosch,750ml,$38.99 ,$445 ,35,$661 ,0.77, Medium ,56959,55.70%,"$115,247 ","$2,456,245 ",64.40%,16.80%,6.40%,3.20%,29.40%,1,2,3,2
1134_95834750,1134,CA,95834750,Meerlust Rubicon Stellenbosch,750ml,$38.99 ,$224 ,49,$238 ,1.04, Medium ,71588,34.60%,"$76,455 ","$829,497 ",31.40%,34.70%,5.60%,2.80%,23.10%,2,2,4,2
1301_95876750,1301,NM,95876750,Darioush Signature Cabernet Napa,750ml,$119.99 ,$237 ,18,$685 ,11.7, Medium ,67574,33.00%,"$72,561 ","$981,204 ",37.30%,45.80%,2.30%,2.90%,25.10%,1,0,0,0
505_95876750,505,TX,95876750,Darioush Signature Cabernet Napa,750ml,$149.99 ,"$1,063 ",37,"$1,494 ",10.99, Large ,123796,40.20%,"$80,999 ","$1,145,351 ",52.90%,19.30%,19.40%,10.80%,24.20%,3,3,2,2
1101_95876750,1101,CA,95876750,Darioush Signature Cabernet Napa,750ml,$139.99 ,"$1,260 ",20,"$3,276 ",16.78, Large ,86848,48.80%,"$97,376 ","$1,445,578 ",43.10%,15.50%,9.90%,2.40%,23.50%,1,2,3,3
1139_95876750,1139,CA,95876750,Darioush Signature Cabernet Napa,750ml,$139.99 ,$826 ,18,"$2,387 ",1.14, Large ,299012,41.50%,"$80,990 ","$840,862 ",49.10%,33.50%,9.90%,21.80%,23.40%,1,2,3,3
2002_95876750,2002,TN,95876750,Darioush Signature Cabernet Napa,750ml,$219.99 ,"$5,860 ",50,"$6,094 ",2.96, Large ,42984,52.50%,"$104,831 ","$2,274,695 ",67.10%,7.10%,8.00%,7.30%,26.70%,4,4,4,4
918_95876750,918,FL,95876750,Darioush Signature Cabernet Napa,750ml,$134.99 ,"$3,660 ",35,"$5,437 ",13.21, Medium ,95855,38.40%,"$76,987 ","$1,309,505 ",42.40%,64.50%,3.00%,10.90%,26.90%,3,3,4,4
1140_95876750,1140,CA,95876750,Darioush Signature Cabernet Napa,750ml,$139.99 ,$252 ,20,$655 ,0.77, Medium ,56959,55.70%,"$115,247 ","$2,456,245 ",64.40%,16.80%,6.40%,3.20%,29.40%,1,2,3,3
1122_95876750,1122,CA,95876750,Darioush Signature Cabernet Napa,750ml,$139.99 ,"$2,380 ",18,"$6,875 ",5.18, Small ,132610,52.30%,"$103,778 ","$1,352,786 ",57.40%,23.10%,22.00%,1.70%,22.30%,0,2,3,3
910_95876750,910,FL,95876750,Darioush Signature Cabernet Napa,750ml,$134.99 ,$803 ,34,"$1,228 ",17.96, Small ,104154,26.00%,"$57,520 ","$935,480 ",33.80%,13.40%,2.80%,6.40%,29.80%,3,2,2,2
927_95876750,927,FL,95876750,Darioush Signature Cabernet Napa,750ml,$134.99 ,"$1,410 ",41,"$1,788 ",8.95, Medium ,131996,30.20%,"$62,860 ","$897,605 ",33.60%,29.80%,4.90%,27.10%,26.00%,2,2,2,2
1127_95876750,1127,CA,95876750,Darioush Signature Cabernet Napa,750ml,$139.99 ,"$2,317 ",20,"$6,024 ",5.52, Large ,202687,62.70%,"$140,808 ","$1,727,026 ",64.40%,17.20%,43.40%,2.40%,23.80%,0,2,4,4
1135_95876750,1135,CA,95876750,Darioush Signature Cabernet Napa,750ml,$139.99 ,"$1,232 ",20,"$3,203 ",1.19, Medium ,366397,57.20%,"$121,881 ","$1,059,464 ",60.00%,15.80%,35.90%,5.20%,24.00%,1,3,4,4
1108_95876750,1108,CA,95876750,Darioush Signature Cabernet Napa,750ml,$139.99 ,$686 ,20,"$1,783 ",13.04, Large ,151263,28.50%,"$60,692 ","$701,980 ",36.00%,27.60%,10.40%,10.60%,22.90%,2,2,3,3
1606_95876750,1606,MN,95876750,Darioush Signature Cabernet Napa,750ml,$139.99 ,$840 ,28,"$1,560 ",8.45, Small ,47856,53.60%,"$106,882 ","$2,103,706 ",60.00%,5.10%,7.10%,5.50%,28.20%,4,4,2,2
2501_95876750,2501,LA,95876750,Darioush Signature Cabernet Napa,750ml,$129.99 ,"$1,040 ",22,"$2,458 ",4.36, Large ,115463,29.60%,"$60,061 ","$808,023 ",41.40%,14.10%,3.00%,18.50%,25.70%,4,4,4,4
1111_95876750,1111,CA,95876750,Darioush Signature Cabernet Napa,750ml,$139.99 ,$266 ,10,"$1,383 ",11.93, Large ,44730,59.70%,"$116,883 ","$2,004,263 ",51.90%,12.20%,14.30%,4.00%,25.30%,0,1,2,2
1118_95876750,1118,CA,95876750,Darioush Signature Cabernet Napa,750ml,$139.99 ,$980 ,20,"$2,548 ",8.01, Small ,109664,55.30%,"$110,951 ","$2,014,020 ",54.50%,21.20%,15.50%,2.70%,26.70%,0,3,3,3
2802_95876750,2802,KS,95876750,Darioush Signature Cabernet Napa,750ml,$119.99 ,"$2,675 ",35,"$3,975 ",1.27, Large ,100194,47.40%,"$94,490 ","$1,684,201 ",64.30%,6.00%,7.90%,5.40%,25.90%,3,3,4,4
201_95876750,201,VA,95876750,Darioush Signature Cabernet Napa,750ml,$139.99 ,$440 ,51,$449 ,26.47, Large ,88561,63.30%,"$127,883 ","$2,198,688 ",66.10%,12.70%,27.30%,8.00%,24.60%,2,2,2,2
