PK,Store_Number,Store_State,Item_Code,Item_Name,Package_Type,Retail,Actual_Sales_$_L52W,L52W_in_Stock,Normalized_Sales_$_L52W,Age_of_the_Store_(years),Store_Size,Households_(HH),%_HH_Income_>_$100K,Median_HH_Income,Average_Net_Worth,%_Population_w/_Bachelor's_Degree_+,%_Hispanic,%_Asian,%_African_American,%_Population_Age_50-70,Store_Tier,Price_to_Stock_Ratio,Stock_to_Sales_Ratio,Income_Age_Interaction,Nor_sales_per_store_size
1010_256750,1010,AZ,256750.0,Heitz Cabernet Napa,750ml,73.99,5859.0,52,5859.0,10.07, Medium ,150250,21.7,52906.0,326496.0,36.7,32.7,4.3,7.0,17.4,1,1.3960377358490565,0.008873720136518772,377.58,2915.2
2303_256750,2303,CO,256750.0,Heitz Cabernet Napa,750ml,72.99,1204.0,52,1204.0,2.18, Large ,106175,43.7,86834.0,1414923.0,45.8,21.3,4.2,1.5,26.7,3,1.3771698113207547,0.043153526970954356,1166.79,3213.5
1129_256750,1129,CA,256750.0,Heitz Cabernet Napa,750ml,57.97,6563.0,52,6563.0,2.9, Large ,221630,36.5,72351.0,544837.0,45.5,34.2,10.8,7.8,19.8,3,1.0937735849056605,0.007921998781230956,722.7,3798.41
1006_256750,1006,AZ,256750.0,Heitz Cabernet Napa,750ml,73.99,4635.0,52,4635.0,15.03, Large ,160333,25.6,53360.0,719646.0,34.8,43.9,3.3,7.8,22.2,3,1.3960377358490565,0.011216566005176877,568.32,2286.75
1107_256750,1107,CA,256750.0,Heitz Cabernet Napa,750ml,59.99,4213.0,52,4213.0,13.61, Medium ,48982,58.7,115595.0,2419760.0,53.6,19.7,9.2,1.5,29.4,2,1.1318867924528302,0.012339819648789748,1725.78,3050.8
1703_256750,1703,MA,256750.0,Heitz Cabernet Napa,750ml,62.97,3153.0,52,3153.0,7.69, Medium ,86737,31.7,61435.0,861694.0,38.3,21.7,9.8,12.0,23.0,2,1.1881132075471699,0.016487000634115408,729.1,3021.0
910_256750,910,FL,256750.0,Heitz Cabernet Napa,750ml,68.97,1333.0,52,1333.0,17.96, Small ,104154,26.0,57520.0,935480.0,33.8,13.4,2.8,6.4,29.8,2,1.3013207547169812,0.038980509745127435,774.8000000000001,2457.6
538_256750,538,TX,256750.0,Heitz Cabernet Napa,750ml,75.59,587.0,52,587.0,2.0, Large ,68537,16.6,42092.0,342556.0,23.6,92.0,1.3,0.9,17.9,1,1.4262264150943398,0.08843537414965986,297.14,1786.26
1122_256750,1122,CA,256750.0,Heitz Cabernet Napa,750ml,59.99,5069.0,52,5069.0,5.18, Small ,132610,52.3,103778.0,1352786.0,57.4,23.1,22.0,1.7,22.3,3,1.1318867924528302,0.010256410256410256,1166.29,4093.17
802_256750,802,GA,256750.0,Heitz Cabernet Napa,750ml,65.99,2916.0,52,2916.0,17.35, Medium ,65746,37.3,79168.0,1115435.0,47.8,12.5,7.1,21.6,23.3,3,1.2450943396226415,0.017826534110387385,869.0899999999999,3608.5
928_256750,928,FL,256750.0,Heitz Cabernet Napa,750ml,68.97,1297.0,52,1297.0,8.26, Medium ,81740,24.1,59842.0,537330.0,30.4,28.0,4.0,19.6,23.5,1,1.3013207547169812,0.040061633281972264,566.35,2354.75
527_256750,527,TX,256750.0,Heitz Cabernet Napa,750ml,79.99,1738.0,52,1738.0,6.29, Large ,72971,52.8,104835.0,1891355.0,56.1,15.4,41.5,12.1,27.2,2,1.5092452830188678,0.029902242668200116,1436.1599999999999,1786.26
1803_256750,1803,MO,256750.0,Heitz Cabernet Napa,750ml,65.97,1019.0,50,1060.0,8.95, Large ,47303,56.7,112649.0,2597742.0,65.6,3.4,9.6,3.3,29.9,3,1.2935294117647058,0.0471253534401508,1695.33,1855.88
617_256750,617,NC,256750.0,Heitz Cabernet Napa,750ml,79.99,342.0,15,1185.0,0.38, Medium ,50373,46.4,92656.0,1119212.0,48.6,14.3,8.2,23.3,22.8,3,4.999375,0.012647554806070826,1057.92,5140.68
605_256750,605,NC,256750.0,Heitz Cabernet Napa,750ml,79.99,2408.0,52,2408.0,21.92, Medium ,119342,37.5,73576.0,958429.0,58.5,12.7,5.3,29.4,20.7,4,1.5092452830188678,0.021585720215857203,776.25,1482.89
304_256750,304,NJ,256750.0,Heitz Cabernet Napa,750ml,69.97,1663.0,51,1696.0,21.9, Medium ,179410,41.1,79724.0,1403768.0,41.9,24.1,6.3,30.5,25.6,2,1.345576923076923,0.030053034767236298,1052.16,1893.92
1204_256750,1204,NV,256750.0,Heitz Cabernet Napa,750ml,79.99,769.0,52,769.0,9.09, Large ,130136,35.9,76784.0,884916.0,29.4,23.0,7.3,15.1,23.0,1,1.5092452830188678,0.06753246753246753,825.6999999999999,3158.67
610_256750,610,NC,256750.0,Heitz Cabernet Napa,750ml,79.99,1360.0,52,1360.0,20.27, Medium ,61525,36.6,69655.0,1049743.0,68.3,10.2,11.7,20.3,18.9,0,1.5092452830188678,0.03820720058780309,691.74,1482.89
604_256750,604,NC,256750.0,Heitz Cabernet Napa,750ml,79.99,800.0,24,1733.0,21.97, Medium ,71373,20.0,45069.0,689835.0,39.9,14.4,3.4,33.3,22.6,1,3.1995999999999998,0.01384083044982699,452.0,3212.93
918_256750,918,FL,256750.0,Heitz Cabernet Napa,750ml,80.99,2563.0,52,2563.0,13.21, Medium ,95855,38.4,76987.0,1309505.0,42.4,64.5,3.0,10.9,26.9,4,1.5281132075471697,0.0202808112324493,1032.9599999999998,2354.75
1112_256750,1112,CA,256750.0,Heitz Cabernet Napa,750ml,65.99,6343.0,52,6343.0,11.39, Large ,34549,37.2,71445.0,2141335.0,41.2,24.5,4.0,1.8,31.4,4,1.2450943396226415,0.00819672131147541,1168.08,3798.41
1102_256750,1102,CA,256750.0,Heitz Cabernet Napa,750ml,59.99,3270.0,52,3270.0,14.05, Medium ,173897,41.0,81493.0,992346.0,37.3,39.5,16.9,4.4,23.8,2,1.1318867924528302,0.01589727911953531,975.8000000000001,3050.8
801_256750,801,GA,256750.0,Heitz Cabernet Napa,750ml,65.99,4582.0,52,4582.0,15.49, Large ,79012,54.0,107097.0,1777722.0,63.0,11.9,15.0,13.9,24.4,4,1.2450943396226415,0.011346279729434867,1317.6,3089.33
1012_256750,1012,AZ,256750.0,Heitz Cabernet Napa,750ml,73.99,1041.0,52,1041.0,2.9, Medium ,24965,22.4,53425.0,1046166.0,38.5,10.0,1.6,0.9,33.7,0,1.3960377358490565,0.04990403071017274,754.88,2915.2
906_256750,906,FL,256750.0,Heitz Cabernet Napa,750ml,80.99,1365.0,52,1365.0,17.06, Large ,107171,29.1,63029.0,1144939.0,35.1,19.1,2.6,24.5,25.2,3,1.5281132075471697,0.03806734992679356,733.32,2992.0
